id,product_name,brand,model,category,gender,release_date,release_year,retail_price_usd,main_color,colorway,avg_resale_price_usd,resale_premium_pct,is_collab,collab_partner
30,Nike Dunk Low Travis Scott,Nike,Dunk Low,Skate,Men,2020-02-29,2020,150,Brown,Multi-Color/Midnight Navy,750,400,1,Travis Scott
31,Nike Air Force 1 Low Triple White,Nike,Air Force 1,Lifestyle,Men,2015-05-01,2015,100,White,White/White/White,100,0,0,
32,Nike Air Force 1 Low Black,Nike,Air Force 1,Lifestyle,Men,2016-03-15,2016,100,Black,Black/Black/Black,95,-5,0,
33,Nike Air Force 1 Low Off-White MCA,Nike,Air Force 1,Lifestyle,Men,2019-06-24,2019,150,Blue,University Blue/Metallic Silver,750,400,1,Off-White
34,Nike Air Force 1 Low Travis Scott Cactus Jack,Nike,Air Force 1,Lifestyle,Men,2019-11-16,2019,160,Brown,Multi-Color/Muted Bronze,800,400,1,Travis Scott
35,Nike Air Force 1 Low Para Noise,Nike,Air Force 1,Lifestyle,Men,2019-11-23,2019,200,Black,Black/White,300,50,1,G-Dragon
36,Nike Air Max 90 Infrared,Nike,Air Max 90,Running,Men,2020-11-09,2020,140,Red,White/Black/Infrared,140,0,0,
37,Nike Air Max 90 Duck Camo,Nike,Air Max 90,Running,Men,2020-03-26,2020,140,Green,Infrared/Black/Duck Camo,180,28.57,0,
38,Nike Air Max 90 Off-White Desert Ore,Nike,Air Max 90,Running,Men,2019-02-07,2019,160,Brown,Desert Ore/Hyper Jade,800,400,1,Off-White
39,Nike Kobe 6 Protro Grinch,Nike,Kobe 6 Protro,Basketball,Men,2020-12-24,2020,180,Green,Green Apple/Volt,1000,455.56,0,
40,Nike Kobe 6 Protro Mambacita Sweet 16,Nike,Kobe 6 Protro,Basketball,Women,2022-05-01,2022,180,White,White/Black/Gold,900,400,0,
41,adidas Ultraboost Triple White,adidas,Ultraboost,Running,Men,2015-02-11,2015,180,White,White/White/White,180,0,0,
42,adidas Ultraboost Black,adidas,Ultraboost,Running,Men,2015-02-11,2015,180,Black,Core Black/Core Black,144,-20,0,
43,adidas Ultraboost 3.0 Oreo,adidas,Ultraboost,Running,Men,2016-12-01,2016,180,Black,Core Black/Footwear White,270,50,0,
44,adidas Ultraboost 1.0 Cream,adidas,Ultraboost,Running,Men,2015-12-01,2015,180,Cream,Chalk/Chalk/Chalk,540,200,0,
45,adidas Ultraboost 1.0 Miami Hurricanes,adidas,Ultraboost,Running,Men,2016-10-01,2016,180,Green,Collegiate Green/Orange,270,50,0,
46,adidas Forum Low White Blue,adidas,Forum Low,Lifestyle,Men,2021-04-01,2021,100,White,Cloud White/Blue,70,-30,0,
47,adidas Forum Low Bad Bunny Pink Easter Egg,adidas,Forum Low,Lifestyle,Men,2021-04-04,2021,160,Pink,Light Pink/Core White,800,400,1,Bad Bunny
48,adidas Forum Low White Green,adidas,Forum Low,Lifestyle,Men,2021-05-15,2021,100,Green,Cloud White/Green,100,0,0,
49,adidas Samba OG White Black,adidas,Samba OG,Lifestyle,Men,2022-01-15,2022,100,White,Cloud White/Core Black/Gum,150,50,0,
50,adidas Samba OG Black White,adidas,Samba OG,Lifestyle,Women,2022-01-15,2022,100,Black,Core Black/Cloud White/Gum,95,-5,0,
51,Yeezy Boost 350 V2 Zebra,Yeezy,Yeezy Boost 350 V2,Lifestyle,Men,2017-02-25,2017,220,White,White/Core Black/Red,660,200,0,
52,Yeezy Boost 350 V2 Beluga,Yeezy,Yeezy Boost 350 V2,Lifestyle,Men,2016-11-25,2016,220,Grey,Steel Grey/Solar Red,220,0,0,
53,Yeezy Boost 350 V2 Black Red,Yeezy,Yeezy Boost 350 V2,Lifestyle,Men,2017-02-11,2017,220,Black,Core Black/Red,110,-50,0,
54,Yeezy Boost 350 V2 Blue Tint,Yeezy,Yeezy Boost 350 V2,Lifestyle,Men,2017-12-16,2017,220,Blue,Blue Tint/Grey/Red,330,50,0,
55,Yeezy Boost 350 V2 Static Reflective,Yeezy,Yeezy Boost 350 V2,Lifestyle,Men,2018-12-26,2018,220,Grey,Static/Static/Static,1100,400,0,
56,Yeezy Boost 350 V2 Cloud White,Yeezy,Yeezy Boost 350 V2,Lifestyle,Men,2019-09-21,2019,220,White,Cloud White/Cloud White,330,50,0,
57,Yeezy Boost 350 V2 Cinder,Yeezy,Yeezy Boost 350 V2,Lifestyle,Men,2020-03-21,2020,220,Brown,Cinder/Cinder,190,-13.64,0,
58,Yeezy Boost 350 V2 Onyx,Yeezy,Yeezy Boost 350 V2,Lifestyle,Men,2022-06-20,2022,230,Black,Onyx/Onyx/Onyx,345,50,0,
59,Yeezy Slide Bone,Yeezy,Yeezy Slide,Slides,Men,2020-04-16,2020,55,Cream,Bone/Bone/Bone,41.25,-25,0,
60,Yeezy Slide Onyx,Yeezy,Yeezy Slide,Slides,Men,2022-03-07,2022,70,Black,Onyx/Onyx/Onyx,140,100,0,
61,New Balance 550 White Green,New Balance,550,Basketball,Men,2020-09-15,2020,110,White,White/Green,121,10,0,
62,New Balance 550 White Red,New Balance,550,Basketball,Men,2020-09-15,2020,110,White,White/Red,110,0,0,
63,New Balance 550 Aime Leon Dore Navy,New Balance,550,Basketball,Men,2020-10-09,2020,130,Blue,White/Navy,520,300,1,Aime Leon Dore
64,New Balance 550 UNC,New Balance,550,Basketball,Men,2021-06-01,2021,110,Blue,White/Light Blue,165,50,0,
65,New Balance 550 Panda,New Balance,550,Basketball,Men,2021-03-01,2021,110,Black,White/Black,99,-10,0,
66,New Balance 990v5 Grey,New Balance,990v5,Running,Men,2019-04-01,2019,175,Grey,Castlerock/Grey,175,0,0,
67,New Balance 990v5 Navy,New Balance,990v5,Running,Men,2020-05-01,2020,175,Blue,Navy/Grey,262.5,50,0,
68,New Balance 990v5 Black,New Balance,990v5,Running,Men,2020-01-15,2020,175,Black,Black/Grey,140,-20,0,
69,New Balance 2002R Protection Pack Rain Cloud,New Balance,2002R,Running,Men,2021-08-14,2021,150,Grey,Rain Cloud/Grey,600,300,0,
70,New Balance 2002R Protection Pack Sea Salt,New Balance,2002R,Running,Men,2021-08-14,2021,150,White,Sea Salt/White,750,400,0,
71,New Balance 2002R Mirage Grey,New Balance,2002R,Running,Men,2022-01-01,2022,150,Grey,Mirage Grey,225,50,0,
72,New Balance 2002R Dark Navy,New Balance,2002R,Running,Men,2022-02-01,2022,150,Blue,Dark Navy/Grey,150,0,0,
73,Puma RS-X Reinvent,Puma,RS-X,Lifestyle,Men,2018-10-15,2018,110,Multi,White/Blue/Red,165,50,0,
74,Puma RS-X Toys,Puma,RS-X,Lifestyle,Men,2018-12-01,2018,110,Multi,Yellow/Blue/Red,55,-50,0,
75,Puma RS-X Bold Black,Puma,RS-X,Lifestyle,Men,2019-03-10,2019,110,Black,Black/Yellow,110,0,0,
76,Puma RS-X3 Puzzle,Puma,RS-X,Lifestyle,Men,2019-10-01,2019,120,Multi,Blue/Yellow/Red,180,50,0,
77,ASICS Gel-Kayano 14 White Silver,ASICS,Gel-Kayano 14,Running,Men,2020-06-01,2020,150,White,White/Silver,150,0,0,
78,ASICS Gel-Kayano 14 Black Silver,ASICS,Gel-Kayano 14,Running,Men,2020-07-01,2020,150,Black,Black/Silver,75,-50,0,
79,ASICS Gel-Kayano 14 Cream,ASICS,Gel-Kayano 14,Running,Men,2021-05-15,2021,150,Cream,Cream/Black,600,300,1,Pleasures
80,ASICS Gel-Kayano 14 JJJJound Silver,ASICS,Gel-Kayano 14,Running,Men,2022-08-19,2022,180,Silver,Silver/White,900,400,1,JJJJound
81,Nike SB Dunk Low Ben & Jerry Chunky Dunky,Nike,Dunk Low,Skate,Men,2020-05-23,2020,100,Multi,Blue/Green/Yellow,800,700,1,Ben & Jerry's
82,Nike SB Dunk Low Travis Scott,Nike,Dunk Low,Skate,Men,2020-02-29,2020,150,Brown,Black/Phantom,750,400,1,Travis Scott
83,Nike SB Dunk Low What The Paul,Nike,Dunk Low,Skate,Men,2021-05-22,2021,150,Multi,Multi-Color/Multi-Color,900,500,1,Paul Rodriguez
84,Air Jordan 1 Retro High Off-White Chicago,Jordan,Air Jordan 1,Basketball,Men,2017-11-20,2017,190,Red,White/Black/Varsity Red,1520,700,1,Off-White
85,Air Jordan 1 Retro High Travis Scott,Jordan,Air Jordan 1,Basketball,Men,2019-05-11,2019,175,Brown,Dark Mocha/Black/Sail,1225,600,1,Travis Scott
86,Air Jordan 4 Retro Union Guava Ice,Jordan,Air Jordan 4,Basketball,Men,2020-08-29,2020,250,Pink,Guava Ice/Light Bone,1250,400,1,Union LA
87,New Balance 550 Rich Paul,New Balance,550,Basketball,Men,2021-12-10,2021,140,Cream,White/Blue/Yellow,700,400,1,Rich Paul
88,New Balance 550 White Purple,New Balance,550,Basketball,Women,2022-02-15,2022,120,Purple,White/Purple,114,-5,0,
89,New Balance 990v5 Aime Leon Dore,New Balance,990v5,Running,Men,2019-11-15,2019,200,Grey,Grey/Yellow,1000,400,1,Aime Leon Dore
90,adidas Samba Wales Bonner Silver,adidas,Samba OG,Lifestyle,Women,2023-06-07,2023,180,Silver,Silver/Black,900,400,1,Wales Bonner
91,adidas Samba Wales Bonner Cream,adidas,Samba OG,Lifestyle,Women,2023-06-07,2023,180,Cream,Cream/Brown,270,50,1,Wales Bonner
92,adidas Ultraboost DNA x Parley,adidas,Ultraboost,Running,Men,2018-06-08,2018,200,Blue,Blue/White,200,0,1,Parley
93,Nike Air Max 1 Travis Scott Cactus Jack Saturn Gold,Nike,Air Max 1,Running,Men,2022-05-27,2022,160,Yellow,Saturn Gold/Tea Tree Mist,800,400,1,Travis Scott
94,Nike Air Max 1 x Patta Monarch,Nike,Air Max 1,Running,Men,2021-10-15,2021,160,Orange,Monarch/Metallic Silver,320,100,1,Patta
95,Nike Air Max 1 Anniversary Red,Nike,Air Max 1,Running,Men,2017-03-26,2017,140,Red,University Red/White,140,0,0,
96,Air Jordan 3 Retro A Ma Maniere,Jordan,Air Jordan 3,Basketball,Women,2021-06-10,2021,200,Cream,Whitestone/Medium Grey,1000,400,1,A Ma Maniere
97,Air Jordan 1 Retro High A Ma Maniere,Jordan,Air Jordan 1,Basketball,Women,2021-12-03,2021,200,Burgundy,Burgundy Crush/Sail,600,200,1,A Ma Maniere
98,Air Jordan 2 Retro Off-White Black Blue,Jordan,Air Jordan 2,Basketball,Men,2021-11-12,2021,250,Black,Black/Varsity Royal,1250,400,1,Off-White
99,Nike LDWaffle Sacai Green Gusto,Nike,LDWaffle,Running,Men,2019-05-30,2019,155,Green,Green Gusto/Varsity Maize,775,400,1,Sacai
100,Nike LDWaffle Sacai Summit White,Nike,LDWaffle,Running,Men,2019-05-30,2019,155,White,Summit White/Wolf Grey,310,100,1,Sacai
101,Air Jordan 1 Retro High OG Lost and Found,Jordan,Air Jordan 1,Basketball,Men,2022-11-19,2022,180,Red,Varsity Red/Black/Sail/Muslin,360,100,0,
102,Air Jordan 1 Retro High OG Hyper Royal,Jordan,Air Jordan 1,Basketball,Men,2021-04-17,2021,170,Blue,Hyper Royal/Light Smoke Grey/White,340,100,0,
103,Air Jordan 1 Retro High OG University Blue,Jordan,Air Jordan 1,Basketball,Men,2021-03-06,2021,170,Blue,University Blue/White/Black,255,50,0,
104,Air Jordan 1 Retro High OG Dark Mocha,Jordan,Air Jordan 1,Basketball,Men,2020-10-31,2020,170,Brown,Sail/Dark Mocha/Black,510,200,0,
105,Air Jordan 1 Retro High OG Turbo Green,Jordan,Air Jordan 1,Basketball,Men,2019-02-15,2019,160,Green,Turbo Green/Sail/White,320,100,0,
106,Air Jordan 1 Retro High OG Pine Green 2.0,Jordan,Air Jordan 1,Basketball,Men,2020-02-29,2020,170,Green,Black/White/Pine Green,85,-50,0,
107,Air Jordan 1 Retro High OG Shadow 2.0,Jordan,Air Jordan 1,Basketball,Men,2021-05-15,2021,170,Grey,Light Smoke Grey/Black/White,187,10,0,
108,Air Jordan 1 Retro High OG Court Purple 2.0,Jordan,Air Jordan 1,Basketball,Men,2020-04-11,2020,170,Purple,White/Court Purple/Black,170,0,0,
109,Air Jordan 1 Retro High OG Patent Bred,Jordan,Air Jordan 1,Basketball,Men,2021-12-30,2021,170,Black,Black/Varsity Red/White,340,100,0,
110,Air Jordan 1 Retro High OG Yellow Toe Taxi,Jordan,Air Jordan 1,Basketball,Men,2022-09-24,2022,180,Yellow,Taxi/Black/Sail,198,10,0,
111,Air Jordan 4 Retro Military Black,Jordan,Air Jordan 4,Basketball,Men,2022-05-21,2022,210,White,White/Black/Neutral Grey,420,100,0,
112,Air Jordan 4 Retro Red Thunder,Jordan,Air Jordan 4,Basketball,Men,2022-01-15,2022,190,Black,Black/Red,285,50,0,
113,Air Jordan 4 Retro Taupe Haze,Jordan,Air Jordan 4,Basketball,Men,2021-02-27,2021,200,Brown,Taupe Haze/Oil Grey,400,100,0,
114,Air Jordan 4 Retro SE Craft Photon Dust,Jordan,Air Jordan 4,Basketball,Men,2023-02-11,2023,210,Grey,Photon Dust/Pale Vanilla,168,-20,0,
115,Air Jordan 4 Retro Black Canvas,Jordan,Air Jordan 4,Basketball,Men,2022-10-01,2022,210,Black,Black/Light Steel Grey,315,50,0,
116,Air Jordan 11 Retro Cool Grey (2021),Jordan,Air Jordan 11,Basketball,Men,2021-12-11,2021,225,Grey,Medium Grey/White/Cool Grey,337.5,50,0,
117,Air Jordan 11 Retro Jubilee 25th Anniversary,Jordan,Air Jordan 11,Basketball,Men,2020-12-12,2020,220,Black,Black/Multicolor/White,330,50,0,
118,Air Jordan 11 Retro Legend Blue (2014),Jordan,Air Jordan 11,Basketball,Men,2014-12-20,2014,200,White,White/Legend Blue/Black,300,50,0,
119,Air Jordan 11 Retro Low Concord,Jordan,Air Jordan 11,Basketball,Men,2014-05-03,2014,150,White,White/Black/Dark Concord,150,0,0,
120,Air Jordan 11 Retro Low Bred,Jordan,Air Jordan 11,Basketball,Men,2015-05-23,2015,170,Black,Black/True Red/White,85,-50,0,
121,Nike Dunk Low Georgetown,Nike,Dunk Low,Skate,Men,2021-11-05,2021,100,Blue,Midnight Navy/Wolf Grey/White,150,50,0,
122,Nike Dunk Low Brazil (2020),Nike,Dunk Low,Skate,Men,2020-05-21,2020,100,Yellow,Varsity Maize/Pine Green/White,250,150,0,
123,Nike Dunk Low Championship Red,Nike,Dunk Low,Skate,Men,2021-09-28,2021,100,Red,University Red/White/Total Orange,110,10,0,
124,Nike Dunk Low Michigan (2021),Nike,Dunk Low,Skate,Men,2021-09-23,2021,100,Yellow,Varsity Maize/Midnight Navy,70,-30,0,
125,Nike Dunk Low Ocean,Nike,Dunk Low,Skate,Women,2022-06-07,2022,110,Blue,Light Marine/Armory Navy,165,50,0,
126,Nike Dunk Low GS Pink Velvet,Nike,Dunk Low,Skate,GS,2021-11-12,2021,95,Pink,Soft Pink/White,71.25,-25,0,
127,Nike Dunk Low TD Panda,Nike,Dunk Low,Skate,TD,2021-03-10,2021,55,Black,White/Black,82.5,50,0,
128,Nike Dunk Low PS Kentucky,Nike,Dunk Low,Skate,PS,2020-03-14,2020,65,Blue,Varsity Royal/White,32.5,-50,0,
129,Nike Dunk High Syracuse (2020),Nike,Dunk High,Skate,Men,2020-03-10,2020,110,Orange,White/Orange Blaze,165,50,0,
130,Nike Dunk High Game Royal,Nike,Dunk High,Skate,Men,2021-06-11,2021,110,Blue,White/Game Royal,110,0,0,
131,Nike React Element 87 Sail Light Bone,Nike,React Element 87,Running,Men,2018-07-13,2018,160,White,Sail/Light Bone/Anthracite/White,320,100,0,
132,Nike React Element 87 Solar Red,Nike,React Element 87,Running,Men,2018-07-13,2018,160,Red,Solar Red/Black/Blue Chill,240,50,0,
133,Nike React Element 87 Royal Tint,Nike,React Element 87,Running,Men,2019-02-15,2019,160,Blue,Royal Tint/Black/Wolf Grey/Solar Red,80,-50,0,
134,Nike Air Max 97 Silver Bullet (2017),Nike,Air Max 97,Running,Men,2017-04-13,2017,160,Silver,Metallic Silver/Varsity Red/Black,240,50,0,
135,Nike Air Max 97 Gold Bullet (2018),Nike,Air Max 97,Running,Men,2018-05-17,2018,160,Gold,Metallic Gold/Varsity Red/Black,320,100,0,
136,Nike Air Max 97 Undefeated Black,Nike,Air Max 97,Running,Men,2017-09-21,2017,180,Black,Black/Gorge Green/White/Speed Red,900,400,1,Undefeated
137,Nike Air Max 1/97 Sean Wotherspoon,Nike,Air Max 1/97,Running,Men,2018-03-26,2018,160,Multi,Light Blue Fury/Lemon Wash,800,400,1,Sean Wotherspoon
138,Nike Air Max 1 Anniversary Obsidian,Nike,Air Max 1,Running,Men,2017-10-15,2017,140,Blue,White/Obsidian/Neutral Grey,105,-25,0,
139,Nike Air Max 1 Powerwall Lemonade,Nike,Air Max 1,Running,Men,2020-11-26,2020,140,Yellow,Lemonade/Pine Green,420,200,0,
140,Nike Air Max 1 Premium Skunk,Nike,Air Max 1,Running,Men,2020-04-20,2020,140,Green,Green/Volt/Blue,210,50,0,
141,adidas Yeezy Boost 700 Wave Runner,Yeezy,Yeezy Boost 700,Lifestyle,Men,2017-11-01,2017,300,Grey,Solid Grey/Chalk White/Core Black,600,100,0,
142,adidas Yeezy Boost 700 Mauve,Yeezy,Yeezy Boost 700,Lifestyle,Men,2018-10-27,2018,300,Brown,Mauve/Mauve/Gum,450,50,0,
143,adidas Yeezy Boost 700 Inertia,Yeezy,Yeezy Boost 700,Lifestyle,Men,2019-03-09,2019,300,Grey,Inertia/Light Grey,150,-50,0,
144,adidas Yeezy Boost 700 V2 Static,Yeezy,Yeezy Boost 700 V2,Lifestyle,Men,2018-12-29,2018,300,Grey,Static/Static/Static,900,200,0,
145,adidas Yeezy Boost 700 V3 Azael,Yeezy,Yeezy Boost 700 V3,Lifestyle,Men,2019-12-23,2019,200,White,Azael/Azael/Azael,600,200,0,
146,adidas Yeezy Boost 380 Alien,Yeezy,Yeezy Boost 380,Lifestyle,Men,2019-11-16,2019,230,Grey,Alien/Alien/Alien,230,0,0,
147,adidas Yeezy Boost 380 Blue Oat,Yeezy,Yeezy Boost 380,Lifestyle,Men,2020-07-25,2020,230,Orange,Blue Oat/Blue Oat,115,-50,0,
148,adidas Yeezy 500 Blush,Yeezy,Yeezy 500,Lifestyle,Men,2018-04-14,2018,200,Cream,Blush/Blush/Blush,400,100,0,
149,adidas Yeezy 500 Utility Black,Yeezy,Yeezy 500,Lifestyle,Men,2018-07-07,2018,200,Black,Utility Black/Utility Black,300,50,0,
150,adidas Yeezy 500 Salt,Yeezy,Yeezy 500,Lifestyle,Men,2018-11-30,2018,200,Grey,Salt/Salt/Salt,100,-50,0,
151,New Balance 327 Casablanca Green,New Balance,327,Lifestyle,Men,2020-04-18,2020,150,Green,White/Green,450,200,1,Casablanca
152,New Balance 327 Casablanca Orange,New Balance,327,Lifestyle,Men,2020-04-18,2020,150,Orange,White/Orange,600,300,1,Casablanca
153,New Balance 327 Grey,New Balance,327,Lifestyle,Men,2020-07-01,2020,100,Grey,Grey/White,100,0,0,
154,New Balance 327 Black,New Balance,327,Lifestyle,Men,2020-07-01,2020,100,Black,Black/White,75,-25,0,
155,New Balance 327 Navy,New Balance,327,Lifestyle,Men,2020-07-01,2020,100,Blue,Navy/White,150,50,0,
156,New Balance 990v3 Kith Daytona,New Balance,990v3,Running,Men,2021-11-27,2021,220,Blue,Blue/Coral,1100,400,1,Kith
157,New Balance 990v3 JJJJound Olive,New Balance,990v3,Running,Men,2022-03-03,2022,220,Green,Olive/Black,1100,400,1,JJJJound
158,New Balance 991 MiUK Grey,New Balance,991,Running,Men,2019-01-01,2019,210,Grey,Grey/Grey,210,0,0,
159,New Balance 991 MiUK Navy,New Balance,991,Running,Men,2020-01-01,2020,210,Blue,Navy/Navy,315,50,0,
160,New Balance 993 Made in USA Grey,New Balance,993,Running,Men,2021-09-09,2021,200,Grey,Grey/Grey,300,50,0,
161,adidas NMD R1 OG,adidas,NMD R1,Running,Men,2015-12-12,2015,170,Black,Core Black/Lush Red/Blue,340,100,0,
162,adidas NMD R1 Triple White,adidas,NMD R1,Running,Men,2016-03-23,2016,170,White,Footwear White/Footwear White,85,-50,0,
163,adidas NMD Human Race Yellow,adidas,NMD Human Race,Running,Men,2016-09-29,2016,240,Yellow,Bright Yellow/Core Black,1200,400,1,Pharrell Williams
164,adidas NMD Human Race Black,adidas,NMD Human Race,Running,Men,2016-09-29,2016,240,Black,Core Black/Core Black,720,200,1,Pharrell Williams
165,adidas NMD Human Race Trail Holi Pink Glow,adidas,NMD Human Race,Running,Men,2018-03-16,2018,250,Pink,Multi-Color/Pink Glow,500,100,1,Pharrell Williams
166,adidas Ultraboost 4.0 Triple Black,adidas,Ultraboost,Running,Men,2017-12-01,2017,180,Black,Core Black/Core Black,180,0,0,
167,adidas Ultraboost 4.0 Triple White,adidas,Ultraboost,Running,Men,2017-12-01,2017,180,White,Footwear White/Footwear White,135,-25,0,
168,adidas Ultraboost Game of Thrones Night's Watch,adidas,Ultraboost,Running,Men,2019-03-22,2019,180,Black,Core Black/Footwear White,360,100,1,Game of Thrones
169,adidas Ultraboost SNS Tee Time,adidas,Ultraboost,Running,Men,2016-06-28,2016,180,Black,Footwear White/Core Black,540,200,1,Sneakersnstuff
170,adidas Ultraboost 1.0 DNA Miami Hurricanes,adidas,Ultraboost,Running,Men,2018-11-01,2018,180,Green,Collegiate Green/Orange,270,50,0,
171,Reebok Question Mid OG Red Toe,Reebok,Question Mid,Basketball,Men,2015-10-01,2015,140,Red,White/Red,140,0,0,
172,Reebok Question Mid OG Blue Toe,Reebok,Question Mid,Basketball,Men,2016-05-01,2016,140,Blue,White/Blue,210,50,0,
173,Reebok Question Mid BBC Ice Cream,Reebok,Question Mid,Basketball,Men,2020-11-12,2020,160,Multi,Multi-Color,640,300,1,BBC Ice Cream
174,Reebok Club C 85 Vintage Chalk,Reebok,Club C 85,Lifestyle,Men,2016-01-01,2016,75,Cream,Chalk/Paper White,75,0,0,
175,Reebok Club C 85 JJJJound White,Reebok,Club C 85,Lifestyle,Men,2020-08-06,2020,120,White,White/Beige,600,400,1,JJJJound
176,Converse Chuck 70 Hi Comme des Garçons Play White,Converse,Chuck 70,Lifestyle,Unisex,2015-09-15,2015,135,White,Optical White/Red Heart,270,100,1,Comme des Garçons
177,Converse Chuck 70 Hi Comme des Garçons Play Black,Converse,Chuck 70,Lifestyle,Unisex,2015-09-15,2015,135,Black,Black/Red Heart,405,200,1,Comme des Garçons
178,Converse Chuck 70 Hi Off-White,Converse,Chuck 70,Lifestyle,Unisex,2018-10-08,2018,130,Clear,White/Cone/Black,650,400,1,Off-White
179,Converse Chuck Taylor All Star Core White,Converse,Chuck Taylor All Star,Lifestyle,Unisex,2015-01-01,2015,55,White,Optical White,55,0,0,
180,Converse Chuck Taylor All Star Core Black,Converse,Chuck Taylor All Star,Lifestyle,Unisex,2015-01-01,2015,55,Black,Black/White,41.25,-25,0,
181,Vans Old Skool Black White,Vans,Old Skool,Skate,Unisex,2015-01-01,2015,60,Black,Black/White,60,0,0,
182,Vans Old Skool Checkerboard,Vans,Old Skool,Skate,Unisex,2016-01-01,2016,60,Black,Black/Off-White Checkerboard,90,50,0,
183,Vans Sk8-Hi Black White,Vans,Sk8-Hi,Skate,Unisex,2015-01-01,2015,65,Black,Black/White,48.75,-25,0,
